date,ticker,open,close,change_pct,volume
2025-07-10,ABVE,0.4141,1.55,274.30572325525236,448636072
2025-07-10,QTTB,1.63,3.32,103.68098159509202,59600038
2025-07-08,PROK,1.27,3.73,193.7007874015748,343425183
2025-07-03,BMNR,57.28,135.0,135.68435754189946,37579767
2025-07-03,RGC,11.0,22.99,108.99999999999999,18796057
2025-07-02,SONN,1.3,4.15,219.23076923076925,129873699
2025-07-01,MBIO,0.95,2.05,115.7894736842105,28953918
2025-06-30,BMNR,15.0,33.9,126.0,110196702
2025-06-30,BULLZ,0.82,1.87,128.04878048780492,1656584
2025-06-30,PET,0.1083,0.2312,113.48107109879963,152819572
2025-06-27,RCT,1.61,3.24,101.24223602484473,78019827
2025-06-26,ZVZZT,10.1,28.76,184.7524752475248,98582
2025-06-24,BULLZ,0.51,1.24,143.13725490196077,1166506
2025-06-23,MAAS,4.36,9.93,127.75229357798163,1507835
2025-06-20,NXTT,260.0,688.0,164.6153846153846,69192
2025-06-18,NWGL,2.34,5.63,140.59829059829062,5982860
2025-06-17,EYEN,3.06,6.97,127.77777777777777,29938045
2025-06-16,ZVZZT,10.1,36.25,258.91089108910893,344398
2025-06-16,RGC,26.2,60.0,129.00763358778624,5288933
2025-06-13,OP,18.7575,40.25,114.58083433293349,3211108
2025-06-11,JUNS,0.9674,1.99,105.70601612569774,9062447
2025-06-09,OMH,0.9842,2.41,144.8689290794554,94402462
2025-06-09,KLTO,0.7184,1.82,153.34075723830733,1108690857
2025-06-09,KLTOW,0.0308,0.129999,322.07467532467535,6438325
2025-06-04,MULN,5.26,16.1,206.08365019011413,33038211
2025-06-04,LIMN,5.78,12.71,119.8961937716263,1435921
2025-06-03,MCTR,7.12,32.9,362.07865168539325,44195677
2025-06-02,ZVZZT,25.04,60.48,141.5335463258786,225235
2025-06-02,MODV,1.1,2.2,100.0,102031804
2025-05-30,BMGL,1.28,6.08,375.0,177398361
2025-05-29,HBIO,0.3101,0.6702,116.1238310222509,633823883
2025-05-29,SBET,29.16,79.21,171.639231824417,20600932
2025-05-27,LVWR,1.02,2.56,150.98039215686273,82033378
2025-05-27,IMNN,11.1555,29.6085,165.4161624310878,7590907
2025-05-23,ZVZZT,29.99,65.0,116.73891297099036,154221
2025-05-22,ZVZZT,12.17,32.11,163.8455217748562,264341
2025-05-21,AIFU,1.5,3.2,113.33333333333336,299331
2025-05-21,ZVZZT,18.9,64.32,240.3174603174603,287128
2025-05-21,LTRY,0.7466,1.78,138.4141441200107,163530664
2025-05-20,SYTAW,0.1703,0.5398,216.97005284791538,1960718
2025-05-19,ARMP,1.17,2.37,102.56410256410258,13182929
2025-05-19,MULN,0.1699,0.34,100.1177163037081,557427932
2025-05-15,KDLYW,2.95,7.3471,149.0542372881356,246282
2025-05-14,KLTO,0.1261,0.2892,129.3417922283902,529962633
2025-05-13,TNMG,6.66,14.4,116.21621621621621,3738572
2025-05-13,XHLD,10.05,20.625,105.22388059701491,4439965
2025-05-12,DEVS,3.2,13.1,309.37499999999994,29591461
2025-05-09,GIBO,696.0,1396.0,100.57471264367817,5520
2025-05-09,NXTT,64.0,472.0,637.5,1089193
2025-05-09,ABTS,2.46,8.41,241.86991869918702,5986846
2025-05-08,ZVZZT,24.57,73.39,198.6975986975987,463417
2025-05-08,VEEE,2.62,7.45,184.35114503816794,83995897
2025-05-06,NTCL,11.35,33.0,190.7488986784141,3309821
2025-05-05,GPUS,3.17,7.75,144.4794952681388,298219477
2025-05-01,KIDZW,0.085,0.2023,138.0,5931764
2025-05-01,KIDZ,2.41,5.36,122.40663900414938,262873244
2025-04-28,AGMH,3.085,6.7,117.17990275526743,37553474
2025-04-25,WW,0.1481,0.3956,167.11681296421338,223581940
2025-04-24,OMEX,0.4188,0.8521,103.46227316141355,287460926
2025-04-22,ZVZZT,12.18,69.19,468.0623973727422,139190
2025-04-17,SXTC,1.05,2.16,105.71428571428572,51734980
2025-04-17,MSGM,1.18,2.75,133.05084745762713,37004421
2025-04-16,ZVZZT,12.1,65.1,438.01652892561975,61935
2025-04-15,OST,20.0,79.75,298.75,4312368
2025-04-14,BULL,27.64,62.9,127.56874095513749,36885308
2025-04-14,ZVZZT,12.1,28.21,133.1404958677686,117495
2025-04-11,ZVZZT,10.1,21.84,116.23762376237624,139086
2025-04-10,LUCY,2.42,4.95,104.54545454545456,14537364
2025-04-09,BLIV,3.115,6.4,105.45746388443018,3493521
2025-04-08,FMTO,275.0,1405.0,410.90909090909093,18797
2025-04-08,ZVSA,0.62,1.27,104.83870967741935,113952187
2025-04-08,FATN,6.5,13.0,100.0,6394651
2025-04-07,MKDW,0.18,0.52,188.8888888888889,223772126
2025-04-07,JNVR,14.27,37.7,164.1906096706377,25056306
2025-04-04,AREB,160.0,390.0,143.75,4160307
2025-04-04,ZVZZT,10.1,32.03,217.12871287128715,60059
2025-04-02,AREB,28.4,125.8,342.9577464788733,3898702
2025-04-01,WTF,4.29,19.85,362.70396270396276,19462684
2025-03-31,ICCT,0.7316,2.24,206.17823947512304,406224475
2025-03-31,NMAX,14.0,83.51,496.50000000000006,6701965
2025-03-27,GATE,16.5,50.0,203.03030303030303,77145
2025-03-24,ZVZZT,10.03,25.32,152.44267198404788,291813
2025-03-24,MLGO,120.6,419.7,248.00995024875624,10157400
2025-03-24,VVPR,1.285,3.22,150.58365758754866,64045952
2025-03-21,SGLY,0.69,1.68,143.47826086956525,30758246
2025-03-20,PSTV,0.5701,1.38,142.0627960007016,357747867
2025-03-20,IBO,0.53,2.08,292.45283018867923,30679574
2025-03-19,XHLD,10.698,23.85,122.93886707795849,14427006
2025-03-18,KBSX,1.31,5.49,319.0839694656488,53731278
2025-03-17,WLDSW,2.95,6.3,113.5593220338983,131767
2025-03-13,ZVZZT,23.0,100.0,334.7826086956522,106007
2025-03-13,RGC,0.1142,0.3708,224.69352014010516,886491056
2025-03-12,CRVO,2.4,6.17,157.08333333333334,158888717
2025-03-11,AACT.WS,0.15,0.3,100.0,2146165
2025-03-07,ABLV,0.68,1.74,155.88235294117646,5135235
2025-03-06,PSTV,0.57,1.44,152.63157894736844,359585031
2025-02-25,ZVZZT,58.0,127.59,119.98275862068965,145528
2025-02-25,RETO,23.0,54.0,134.7826086956522,1574320
2025-02-24,QVCGB,100.5,487.0,384.5771144278607,64064
2025-02-24,SXTC,2.7712,6.72,142.49422632794457,3642459
2025-02-24,SBFMW,0.25,0.8,220.00000000000003,728680
2025-02-24,ZVZZT,32.12,126.0,292.2789539227895,62323
2025-02-21,MLGO,93.903,190.8,103.18839653685185,17717848
2025-02-20,MNDR,16.94,37.596,121.93624557260918,11304945
2025-02-20,VRM,12.0,31.0,158.33333333333331,34165
2025-02-13,BSLK,6.3,24.6,290.4761904761905,13654972
2025-02-13,CSAI,18.14,37.68,107.71775082690186,3421647
2025-02-13,ZVZZT,25.04,63.98,155.5111821086262,30661
2025-02-10,CSAI,5.78,12.34,113.4948096885813,10246539
2025-02-10,CYN,13.275,27.705,108.7005649717514,13908267
2025-02-06,LTRY,0.49,1.41,187.75510204081633,272770059
2025-02-04,ZVZZT,12.1,24.72,104.29752066115702,287186
2025-02-04,CAPT,0.45,1.05,133.33333333333334,245999906
2025-02-03,IVVD,0.4442,1.06,138.6312471859523,448532824
2025-02-03,ZVZZT,12.1,30.0,147.93388429752065,274917
2025-01-30,BHIL,1.8,3.95,119.44444444444446,13519659
2025-01-30,FOXX,2.92,6.39,118.83561643835617,33524144
2025-01-29,ZVZZT,25.0,53.76,115.03999999999999,207562
2025-01-29,DGNX,1.9613,6.2688,219.62473869372351,26735344
2025-01-29,KRKR,4.45,9.42,111.68539325842694,23687690
2025-01-28,TWNPV,1.6,18.0,1024.9999999999998,31935
2025-01-27,ZVZZT,12.1,42.87,254.297520661157,117267
2025-01-24,ZVZZT,27.18,91.86,237.96909492273733,171071
2025-01-24,NVNI,21.7,44.0,102.76497695852535,36783607
2025-01-24,DXF,11.0,29.0,163.63636363636365,776955
2025-01-23,DWTX,2.72,13.35,390.8088235294117,103459252
2025-01-15,ZVZZT,12.11,25.1,107.2667217175888,140254
2025-01-14,ZVZZT,10.05,23.67,135.52238805970148,56229
2025-01-07,DATS,2.38,8.93,275.21008403361344,204884010
2025-01-06,BOXL,14.322,50.4,251.9061583577713,8013458
2025-01-06,XTIA,10.225,22.0,115.15892420537898,6232875
2025-01-03,ACON,1338.66,2699.028,101.62162162162159,33807
2025-01-03,KITT,14.58,34.2,134.56790123456793,11644351
2025-01-03,FCUV,4.544,9.59,111.04753521126763,26092583
2025-01-02,NITO,15.393,37.45,143.2924056389268,17260015
2024-12-31,BDMD,1.52,7.6,400.0,89739005
2024-12-30,WATT,37.5,79.5,112.00000000000001,7540473
2024-12-30,HOLOW,0.14,0.322343,130.24499999999998,3451217
